time;X_value;Y_value;Z_value
0,2763;0,40942;3,02157;11,23394
0,2782;0,35435;3,07664;11,14056
0,2798;0,25619;3,12932;11,00409
0,2832;0,19872;3,13411;10,92268
0,2872;0,01915;3,12692;10,73114
0,2872;-0,06943;3,11735;10,61861
0,291;-0,22027;3,11256;10,37679
0,2943;-0,47646;3,1772;9,85005
0,2944;-0,47646;3,1772;9,85005
0,2944;-0,5435;3,18439;9,7447
0,2965;-0,65843;3,21791;9,59625
0,2989;-0,72307;3,21072;9,53879
0,3006;-0,84997;3,18199;9,46217
0,3038;-0,97447;3,15565;9,43823
0,3055;-1,02236;3,08622;9,32809
0,3055;-1,07982;2,98805;9,14134
0,3088;-1,10137;2,93778;9,04318
0,3136;-1,13728;2,60018;8,56193
0,3136;-1,13489;2,47089;8,41109
0,3138;-1,13489;2,47089;8,41109
0,3161;-1,03912;2,26977;8,1549
0,3192;-0,83321;2,13809;7,91068
0,3204;-0,67758;2,12851;7,8221
0,322;-0,27774;2,12612;7,71196
0,3239;-0,05746;2,15964;7,69041
0,3255;0,40463;2,26977;7,68323
0,3276;0,84757;2,37751;7,71914
0,3337;1,68078;2,62173;7,77421
0,3356;1,68078;2,62173;7,77421
0,3356;1,86275;2,68398;7,79815
0,3361;2,05429;2,73666;7,81731
0,3377;2,35118;2,81567;7,86759
0,3405;2,47807;2,84919;7,89392
0,3415;2,66722;2,8444;7,94899
0,3451;2,70314;2,72947;8,01603
0,3463;2,6768;2,65764;8,05434
0,3478;2,58103;2,47807;8,1142
0,3549;2,31766;2,20752;8,25067
0,3549;2,23386;2,20752;8,25067
0,3549;2,23386;2,17161;8,28419
0,356;2,1764;2,20992;8,34644
0,3584;2,00401;2,23386;8,46376
0,36;1,63768;2,04232;8,70079
0,3626;1,47008;1,97288;8,84685
0,3658;1,18517;1,88908;9,1605
0,3658;1,05109;1,87711;9,41429
0,3695;1,02236;1,87951;9,53879
0,3744;1,06066;1,94894;10,0368
0,3744;1,06066;1,94894;10,0368
0,3744;1,0894;1,9657;10,13736
0,3764;1,17559;2,04232;10,32411
0,3778;1,22826;2,0926;10,40073
0,38;1,33122;2,2147;10,51805
0,3828;1,43417;2,344;10,62579
0,385;1,48924;2,40385;10,66649
0,3851;1,58022;2,47329;10,72156
0,3876;1,59938;2,52117;10,78381
0,3935;1,61374;2,60976;10,94423
0,3935;1,61374;2,60976;10,94423
0,3936;1,61374;2,60976;10,94423
0,3967;1,5898;2,65525;11,03042
0,3976;1,53473;2,68159;11,05916
0,4003;1,50839;2,68638;11,04958
0,4018;1,47966;2,66722;10,9969
0,4043;1,45093;2,64567;10,88677
0,4087;1,42459;2,6361;10,8317
0,4087;1,35516;2,60018;10,7072
0,414;1,14925;2,44934;10,42707
0,414;1,14925;2,44934;10,42707
0,414;1,12291;2,43737;10,34087
0,4157;1,10137;2,42779;10,26904
0,4177;1,07024;2,4254;10,11342
0,4205;0,99123;2,42779;9,98173
0,4218;0,93616;2,4254;9,95779
0,4255;0,87391;2,43258;9,90512
0,4264;0,86194;2,45653;9,86202
0,4274;0,8763;2,49244;9,73033
0,4344;0,79969;2,47807;9,58189
0,4345;0,79969;2,47807;9,58189
0,4345;0,73744;2,47089;9,58907
0,4363;0,64406;2,47807;9,58428
0,4381;0,60575;2,48765;9,58428
0,4396;0,56026;2,47807;9,56513
0,4415;0,49322;2,46131;9,6202
0,4434;0,45252;2,44934;9,6609
0,4454;0,37351;2,43737;9,70878
0,4487;0,3352;2,43019;9,71836
0,4541;0,24182;2,37033;9,83568
0,4541;0,24422;2,35836;9,85484
0,4541;0,24422;2,35836;9,85484
0,4556;0,26098;2,3416;9,89314
0,4571;0,33759;2,31766;9,90033
0,4597;0,36632;2,2985;9,90512
0,461;0,42379;2,24822;9,87638
0,4631;0,44534;2,22907;9,83568
0,4661;0,52195;2,20034;9,69681
0,4677;0,56984;2,16442;9,50767
0,4735;0,57702;2,10457;9,12937
0,4735;0,57702;2,10457;9,12937
0,4746;0,57223;2,08302;9,0312
0,4758;0,56505;2,06865;8,93064
0,4791;0,56265;2,05668;8,73671
0,4802;0,55547;2,05429;8,64094
0,4819;0,54589;2,05429;8,4494
0,4843;0,56265;2,05908;8,27461
0,4874;0,56744;2,05908;8,21236
0,4894;0,55787;2,09738;8,09744
0,4956;0,60575;2,14766;7,92266
0,4956;0,60575;2,14766;7,92266
0,4956;0,62251;2,16682;7,88435
0,496;0,64167;2,174;7,84843
0,5;0,6704;2,18358;7,79576
0,5014;0,67279;2,2171;7,74787
0,5017;0,67519;2,22189;7,72393
0,5035;0,65843;2,23146;7,71675
0,5083;0,61533;2,23865;7,73111
0,5084;0,60575;2,23625;7,74069
0,5141;0,55308;2,31766;7,86519
0,5141;0,52913;2,34878;7,93463
0,5156;0,52913;2,34878;7,93463
0,5157;0,51956;2,3847;8,10701
0,5177;0,49322;2,39188;8,21715
0,5205;0,4597;2,37991;8,43264
0,5214;0,51716;2,35118;8,64094
0,5239;0,56026;2,35597;8,73431
0,5252;0,668;2,38709;8,92825
0,5275;0,8356;2,41343;9,09346
0,5345;1,00081;2,43258;9,40711
0,5346;1,00081;2,43258;9,40711
0,5346;1,00081;2,43258;9,40711
0,5367;1,09179;2,41582;9,48851
0,5386;1,1708;2,38949;9,56034
0,5452;1,15883;2,3823;9,63217
0,5453;1,16122;2,38949;9,73752
0,5461;1,19714;2,36794;9,80216
0,5467;1,22347;2,36315;9,83089
0,5479;1,24981;2,32963;9,85723
0,5546;1,34079;2,2578;9,96737
0,5546;1,34079;2,2578;9,96737
0,5546;1,33361;2,24344;10,00089
0,5577;1,32403;2,23625;10,02243
0,5595;1,33122;2,18597;10,04638
0,56;1,37192;2,11893;10,0799
0,5615;1,39586;2,07584;10,09666
0,564;1,4198;2,01837;10,13257
0,5661;1,42699;1,99204;10,19003
0,5678;1,45572;1,93936;10,20201
0,5747;1,58022;1,86275;10,25229
0,5747;1,58022;1,86275;10,25229
0,5747;1,59219;1,86514;10,25468
0,5762;1,64966;1,86514;10,22355
0,578;1,66163;1,87232;10,2044
0,5805;1,69994;1,88669;10,17088
0,5815;1,74064;1,87711;10,12299
0,5845;1,74782;1,87951;10,11342
0,5855;1,77895;1,84359;10,08229
0,5881;1,80528;1,82204;10,05117
0,5946;1,83162;1,80768;9,90272
0,5946;1,8388;1,81247;9,84047
0,5946;1,8388;1,81247;9,84047
0,5962;1,86993;1,85556;9,71836
0,598;1,8819;1,89627;9,60104
0,6003;1,90345;1,90584;9,53161
0,6022;1,91542;1,925;9,41908
0,6063;1,91781;1,93218;9,36161
0,6063;1,89387;1,9226;9,28021
0,6076;1,85556;1,92739;9,16768
0,6157;1,73345;1,90105;8,96656
0,6157;1,73345;1,90105;8,96656
0,6157;1,69275;1,90584;8,92346
0,6158;1,64726;1,91063;8,88276
0,6176;1,5874;1,90105;8,83966
0,62;1,56346;1,88669;8,79896
0,6233;1,48684;1,84359;8,71995
0,6243;1,40305;1,83401;8,66727
0,6256;1,37192;1,85556;8,66009
0,6277;1,32164;1,8819;8,67206
0,6369;1,24502;1,91303;8,63854
0,6369;1,24502;1,91303;8,63854
0,6369;1,21869;1,92739;8,63375
0,6369;1,1301;1,97528;8,63854
0,6386;1,087;1,98007;8,61939
0,6402;1,03433;2,00161;8,58348
0,6432;0,99362;2,02077;8,58826
0,646;0,94813;2,05429;8,59784
0,6461;0,93137;2,10936;8,64812
0,6477;0,90743;2,14527;8,68164
0,6539;0,88349;2,21231;8,93543
0,6548;0,89306;2,21231;8,93543
0,6548;0,89306;2,23386;9,01684
0,6564;0,95053;2,27696;9,16768
0,6588;0,99362;2,30569;9,24908
0,6611;1,09179;2,37991;9,39035
0,6616;1,2115;2,46131;9,51964
0,6643;1,26657;2,49723;9,57231
0,6655;1,39107;2,52835;9,64174
0,6695;1,49882;2,53314;9,68963
0,673;1,78852;2,60258;9,75428
0,673;1,78852;2,60258;9,75428
0,6773;1,8412;2,60258;9,75428
0,6773;1,91063;2,65286;9,75667
0,6791;2,05189;2,71511;9,72794
0,6798;2,1309;2,73187;9,69442
0,6827;2,27696;2,77496;9,64893
0,684;2,43498;2,86116;9,60583
0,6862;2,5092;2,90426;9,56992
0,688;2,66722;3,00481;9,48851
0,6935;2,98327;3,17002;9,13655
0,6935;2,98327;3,17002;9,13655
0,6942;3,10537;3,24185;8,9474
0,6964;3,25382;3,34241;8,70079
0,6975;3,51001;3,53156;8,21476
0,7002;3,63451;3,59381;7,87238
0,7015;3,69915;3,68;7,69759
0,7032;3,86197;3,83084;7,12776
0,7059;3,48606;3,68718;6,99607
0,7077;3,22269;3,19636;7,12057
0,715;2,61694;2,57624;7,26184
0,715;2,54272;2,44934;7,28817
0,715;2,54272;2,44934;7,28817
0,7158;2,34639;2,20034;7,46056
0,7176;2,26738;2,08541;7,49887
0,7209;2,14288;1,81725;7,64731
0,7221;2,05189;1,61135;7,84843
0,7241;2,06147;1,5491;7,8628
0,7255;2,0926;1,41262;7,89153
0,7283;2,10936;1,35755;7,91787
0,735;2,1309;1,15643;7,74308
0,735;2,14288;1,12291;7,63055
0,735;2,14288;1,12291;7,63055
0,7361;2,17161;0,98884;7,51802
0,7376;2,12612;0,89306;7,38155
0,7401;2,08541;0,8356;7,26662
0,7421;1,97767;0,74701;6,86678
0,7446;1,86993;0,67758;6,73031
0,7456;1,47966;0,31365;6,69918
0,7478;1,18277;0,23224;6,30173
0,7556;0,85954;0,05986;6,95058
0,7556;0,89785;0,0407;7,12776
0,7556;0,89785;0,0407;7,12776
0,7557;0,92658;0,04789;7,35282
0,7576;1,02236;0,09098;7,72393
0,7598;1,12531;0,1269;7,87956
0,7638;1,17559;0,24661;8,1956
0,7641;1,30967;0,32802;8,42066
0,7656;1,37192;0,38069;8,54277
0,769;1,48206;0,49801;8,75347
0,7726;1,57543;0,69434;9,21556
0,7726;1,57543;0,69434;9,21556
0,775;1,68557;0,81645;9,55316
0,7767;1,755;0,91701;9,93145
0,7781;1,80528;0,96729;10,0799
0,7811;1,89387;0,99362;10,31932
0,7823;1,89387;0,95771;10,42946
0,7842;1,8819;0,85954;10,72635
0,7856;2,01598;0,89306;10,97775
0,7887;2,07105;0,92419;11,09507
0,7968;2,25301;1,14686;11,14535
0,7969;2,35836;1,2115;11,07831
0,7969;2,35836;1,2115;11,07831
0,7969;2,58821;1,34558;10,86043
0,7994;2,69595;1,39107;10,77424
0,8025;2,9258;1,506;10,5372
0,8025;3,12453;1,59219;10,30017
0,8041;3,23227;1,65684;10,18046
0,8057;3,47649;1,79092;10,09426
0,8088;3,54832;1,89627;10,27862
0,8147;4,17322;2,31048;6,53398
0,8147;4,17322;2,49005;6,53398
0,8148;4,17322;2,49005;6,53398
0,8162;5,22431;2,74384;3,73507
0,8176;6,74467;2,60258;5,22191
0,8209;7,74787;2,40864;7,51802
0,8216;8,6577;2,00401;9,08867
0,8251;7,13015;2,28414;7,18043
0,8262;6,54116;2,29132;7,54197
0,828;5,49725;2,15964;8,13814
0,8335;4,61856;1,98964;9,08148
0,8335;4,61856;1,98964;9,08148
0,8356;4,2666;1,82204;10,20201
0,837;3,90506;1,68796;10,69523
0,838;3,42621;1,51558;9,72794
0,8406;3,44297;1,39586;10,00089
0,8422;3,4286;1,24263;11,00648
0,8442;3,0527;0,99841;11,53322
0,8462;2,52357;1,08461;9,49809
0,8487;2,3823;1,25699;9,17007
0,8548;2,1309;1,7981;10,10384
0,8548;2,1309;1,7981;10,10384
0,8548;2,20513;2,04711;9,74949
