time;X_value;Y_value;Z_value
0,3046;-1,08461;1,9226;8,97135
0,3067;-1,09897;1,91781;8,94501
0,3088;-1,12291;1,91542;8,93543
0,3139;-1,14925;1,89866;8,93304
0,3142;-1,15404;1,90105;8,93543
0,3148;-1,14686;1,90345;8,94022
0,318;-1,13489;1,89627;8,9498
0,319;-1,13728;1,86993;8,96895
0,3207;-1,087;1,87472;8,97135
0,3228;-1,07503;1,87951;8,95938
0,3247;-1,03193;1,88429;8,95698
0,3266;-0,99602;1,87951;8,97614
0,3288;-0,92658;1,89387;9,02402
0,3347;-0,9218;1,95133;9,16289
0,3347;-0,9218;1,95133;9,16289
0,3347;-0,93616;1,97049;9,18444
0,337;-0,94574;1,99204;9,22993
0,3389;-0,95532;1,99922;9,25387
0,3415;-0,97686;2,02556;9,285
0,3445;-0,98405;2,01837;9,29697
0,345;-0,97447;1,99683;9,32809
0,3471;-0,97447;1,99443;9,34007
0,3487;-0,97926;1,98725;9,34246
0,3557;-0,96729;1,97767;9,33528
0,3557;-0,97447;1,97767;9,33528
0,3557;-0,97447;1,98964;9,33528
0,3576;-0,98165;1,99922;9,33288
0,3589;-0,99602;1,98964;9,33288
0,3612;-1,01278;1,99443;9,33528
0,3633;-1,02236;2,0064;9,31852
0,3653;-1,03193;1,99683;9,30894
0,3675;-1,06785;1,99922;9,30655
0,3694;-1,07024;1,99922;9,27542
0,3746;-1,10137;1,99683;9,28739
0,3746;-1,10137;1,99683;9,28739
0,3756;-1,09897;1,98964;9,28021
0,3778;-1,10615;1,99683;9,26345
0,3792;-1,13249;1,99204;9,26824
0,3809;-1,13728;1,98246;9,26584
0,384;-1,14686;1,97288;9,27542
0,3856;-1,1301;1,9657;9,30176
0,3877;-1,12531;1,95852;9,30415
0,3888;-1,13967;1,94655;9,29697
0,3959;-1,15165;1,92739;9,28021
0,3966;-1,15165;1,9226;9,28021
0,3967;-1,16122;1,90824;9,28739
0,3979;-1,16601;1,89627;9,29218
0,3999;-1,18038;1,88429;9,30894
0,4013;-1,2139;1,8819;9,3257
0,4034;-1,22587;1,87232;9,32809
0,4054;-1,25939;1,86514;9,34485
0,4079;-1,29051;1,86035;9,37598
0,4097;-1,30967;1,84838;9,38077
0,415;-1,36713;1,79331;9,40711
0,415;-1,36713;1,79331;9,40711
0,4188;-1,3791;1,79092;9,40471
0,4189;-1,38868;1,7574;9,40711
0,4194;-1,38389;1,74064;9,41668
0,4216;-1,38629;1,72148;9,42387
0,4242;-1,37431;1,70712;9,42865
0,426;-1,35995;1,70951;9,43105
0,4272;-1,35037;1,70951;9,43344
0,4289;-1,34798;1,72388;9,44063
0,4352;-1,36953;1,81247;9,47175
0,4352;-1,36953;1,81247;9,47175
0,4352;-1,3791;1,81965;9,47654
0,4369;-1,38629;1,83641;9,47175
0,4391;-1,38629;1,86275;9,46457
0,4409;-1,38389;1,86514;9,47893
0,4431;-1,39586;1,87951;9,48372
0,4454;-1,41023;1,88669;9,48133
0,4471;-1,39586;1,88908;9,48133
0,4512;-1,35277;1,89627;9,47175
0,4548;-1,31925;1,91781;9,47175
0,4548;-1,30488;1,91781;9,47893
0,4557;-1,30009;1,91542;9,48851
0,4572;-1,30967;1,91303;9,48372
0,4588;-1,31206;1,90105;9,46936
0,4619;-1,2977;1,90824;9,45978
0,4636;-1,30009;1,91542;9,44541
0,4647;-1,31206;1,92021;9,40711
0,467;-1,30488;1,91303;9,38556
0,4692;-1,2977;1,88908;9,34007
0,4755;-1,28573;1,89627;9,18444
0,4755;-1,28573;1,89627;9,18444
0,4755;-1,26418;1,89627;9,15092
0,4775;-1,26657;1,90345;9,0743
0,4793;-1,25699;1,90824;9,04796
0,4823;-1,23066;1,91542;8,99529
0,4837;-1,22347;1,90824;8,95698
0,4849;-1,19235;1,8819;8,87558
0,4879;-1,14925;1,87472;8,80135
0,4912;-1,12291;1,87711;8,75586
0,4962;-1,02954;1,86753;8,61699
0,4962;-1,02954;1,86753;8,61699
0,4973;-1,00799;1,86753;8,59305
0,4978;-0,9601;1,86753;8,58826
0,4989;-0,93616;1,86993;8,59305
0,5006;-0,89785;1,87711;8,61699
0,5035;-0,86912;1,91781;8,66727
0,5057;-0,86433;1,94176;8,70079
0,507;-0,84757;1,99922;8,77502
0,5091;-0,85715;2,05908;8,866
0,5141;-0,90504;2,15485;8,96177
0,5152;-0,92658;2,19076;8,98092
0,5162;-0,95053;2,19076;8,98811
0,5177;-0,97447;2,24344;8,9929
0,5197;-1,02236;2,24583;8,96895
0,5209;-1,0439;2,24822;8,95459
0,5234;-1,0894;2,25301;8,90431
0,5257;-1,09179;2,23625;8,84445
0,5273;-1,0894;2,21231;8,81572
0,5296;-1,0894;2,16682;8,74389
0,537;-0,84278;2,50681;8,73671
0,537;-0,84278;2,50681;8,73671
